geo_id,name,,,
1374,Abadam,,,
1376,Abala (Camp) (Niger Nationals),,,
1375,Abala Refugee Camp,,,
1377,Abassari,,,
417,Abgadam,,,
1596,Abia,,,
515,Abidjan,,,
1378,Abounga,,,
1719,Abruzzo,,,
234,Ad Damazin,,,
1597,Adamawa,,,
350,Adamawa,,,
359,Adamawa Region,,,
1862,Adan Yabaal,,,
145,Adana,,,
169,Addis Ababa,,,
170,Addis Ababa,,,
1145,Adinkol,,,
143,Adiyaman,,,
144,Adiyaman-Merkez,,,
273,Adjoung Thok,,,
319,Adjumani,,,
832,Adjumani Camp,,,
329,Adjumani Town,,,
1356,Adrar,,,
1253,Adrar,,,
575,Afghanistan (country),,,
1866,Afgooye,,,
1891,Afmadow,,,
787,Africa,,,
1379,Agando (Est.**),,,
1759,Agathonisi,,,
1296,Aïn Defla,,,
1298,Aïn Témouchent,,,
63,Ajloun,,,
62,Ajlun Governorate,,,
136,Akcakale,,,
75,Akkar,,,
239,Akobo,,,
10,Akre Settlement,,,
246,Akula,,,
1599,Akwa Ibom,,,
1560,Al 'Aziziyah,,,
304,Al Agaya,,,
1561,Al Jufrah,,,
307,Al Redis,,,
819,Al Redis II,,,
1562,Al Wahat,,,
1772,Al Waral,,,
23,Al-Obaidi Camp,,,
576,Albania (country),,,
321,Alere,,,
1494,Alexandria,,,
105,Aley,,,
769,Algeria (country),,,
1268,Algiers,,,
360,Alhamdou,,,
1472,Alibori,,,
795,Alinjugur,,,
118,Altinozu Apaydin,,,
119,Altinozu Boynuyogun,,,
120,Altinozu Tekel,,,
424,Amboko,,,
778,American Samoa,,,
48,Amman,,,
47,Amman Governorate,,,
1598,Anambra,,,
21,Anbar,,,
22,Anbar Non-Camp,,,
284,Andari,,,
1442,Anderamboukane,,,
577,Andorra (country),,,
1806,Ango,,,
578,Angola (country),,,
770,Anguilla,,,
1275,Annaba,,,
1521,Annobón Province,,,
1528,Anseba,,,
579,Antigua and Barbuda (country),,,
1720,Aosta Valley,,,
1721,Apulia,,,
64,Aqaba Governorate,,,
65,Aqabah,,,
14,Arbat Permenant Camp,,,
580,Argentina (country),,,
581,Armenia (country),,,
1809,Aru,,,
335,Arua,,,
338,Arua,,,
1563,Ash Shati,,,
1549,Ashanti,,,
230,Ashura,,,
788,Asia,,,
1357,Assaba,,,
229,Assosa,,,
1495,Aswan,,,
1496,Asyut,,,
1473,Atakira,,,
1474,Atlantique,,,
1706,Attica,,,
582,Australia (country),,,
583,Austria (country),,,
1240,Autres localites,,,
173,Aw-barre Refugee Camp,,,
1564,Awbari,,,
1817,Awdal,,,
1691,Ayeyarwady Region,,,
328,Ayilo,,,
1380,Ayourou,,,
1565,Az Zawiyah,,,
1682,Azad Jammu &amp; Kashmir (آزاد کشمیر),,,
584,Azerbaijan (country),,,
42,Azraq Camp,,,
102,Baabda,,,
95,Baalbek,,,
1882,Baardheere,,,
1765,Babil,,,
1093,Babongo,,,
33,Babylon,,,
1646,Badakhshan,,,
1647,Badghis,,,
1892,Badhaadhe,,,
363,Bafouck,,,
1424,Baga Sola,,,
24,Baghdad,,,
1648,Baghlan,,,
1094,Bago,,,
1692,Bago Region,,,
1095,Bagodo,,,
592,Bahamas (country),,,
565,Bahn Ref. Camp,,,
993,Bahr El Gazel,,,
585,Bahrain (country),,,
1829,Baki,,,
1146,Bakombo,,,
1818,Bakool,,,
1381,Balance Negative Niger,,,
1863,Balcad,,,
1649,Balkh,,,
1683,Balochistan (بلوچستان),,,
55,Balqa,,,
54,Balqa Governorate,,,
1435,Bamako,,,
407,Bambari,,,
233,Bambasi,,,
980,Bamingui-Bangoran,,,
1650,Bamyan,,,
809,Banadir,,,
1894,Banadir,,,
1844,Bandarbeyla,,,
1147,Bandongoue,,,
959,Bandundu,,,
591,Bangladesh (country),,,
402,Bangui,,,
1742,Bangui,,,
1566,Bani Walid,,,
1382,Banibangou (Ind. Reg.*),,,
1543,Banjul,,,
817,Bar El Ghazal,,,
1867,Baraawe,,,
913,Baraka (Rural Area),,,
1316,Barani,,,
324,Baratuku,,,
